Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Rel Change(%) - 1 day,Rel Change(%) - 7 day(1 week),Rel Change(%) - 30 day(1 month)
2021-10-06,139.47000122070312,142.14999389648438,138.3699951171875,142.0,80864213,0,0,-0.0143,-4.302,-7.1557
2021-10-05,139.49000549316406,142.24000549316406,139.36000061035156,141.11000061035156,80861100,0,0,-1.6273,-4.4233,-6.323
2021-10-04,141.75999450683594,142.2100067138672,138.27000427246094,139.13999938964844,98322000,0,0,-0.0988,-3.4495,
2021-10-01,141.89999389648438,142.9199981689453,139.11000061035156,142.64999389648438,94639600,0,0,-1.2403,-1.797,
2021-09-30,143.66000366210938,144.3800048828125,141.27999877929688,141.5,88934200,0,0,0.8283,-0.1879,
2021-09-29,142.47000122070312,144.4499969482422,142.02999877929688,142.8300018310547,74602000,0,0,-0.5475,-0.9335,
2021-09-28,143.25,144.75,141.69000244140625,141.91000366210938,108972300,0,0,-1.5497,-3.8883,
2021-09-27,145.47000122070312,145.9600067138672,143.82000732421875,145.3699951171875,74150700,0,0,-0.1306,-2.0417,
2021-09-24,145.66000366210938,147.47000122070312,145.55999755859375,146.9199981689453,53477900,0,0,-0.6797,-1.9909,
2021-09-23,146.64999389648438,147.0800018310547,145.63999938964844,146.8300018310547,64838200,0,0,1.5002,-2.523,
2021-09-22,144.4499969482422,146.42999267578125,143.6999969482422,145.85000610351562,76404300,0,0,0.36,-4.2783,
2021-09-21,143.92999267578125,144.60000610351562,142.77999877929688,143.42999267578125,75834000,0,0,0.0903,-7.6912,
2021-09-20,143.8000030517578,144.83999633789062,141.27000427246094,142.94000244140625,123478900,0,0,-3.491,-8.1293,
2021-09-17,148.82000732421875,148.82000732421875,145.75999450683594,146.05999755859375,129868800,0,0,0.2553,-5.4831,
2021-09-16,148.44000244140625,148.97000122070312,147.22000122070312,148.7899932861328,68034100,0,0,-0.0808,-4.3991,
2021-09-15,148.55999755859375,149.44000244140625,146.3699951171875,149.02999877929688,83281300,0,0,-1.2049,-3.5003,
2021-09-14,150.35000610351562,151.07000732421875,146.91000366210938,148.1199951171875,109296300,0,0,-0.1862,-2.3412,
2021-09-13,150.6300048828125,151.4199981689453,148.75,149.5500030517578,102404300,0,0,-2.9011,-1.4605,
2021-09-10,155.0,155.47999572753906,148.6999969482422,148.97000122070312,140646400,0,0,-0.3161,1.5097,
2021-09-09,155.49000549316406,156.11000061035156,153.9499969482422,154.07000732421875,57305700,0,0,-0.9583,4.1739,
2021-09-08,156.97999572753906,157.0399932861328,153.97999572753906,155.11000061035156,74420200,0,0,1.2804,6.0517,
2021-09-07,154.97000122070312,157.25999450683594,154.38999938964844,156.69000244140625,82278300,0,0,0.7808,4.2718,
2021-09-03,153.75999450683594,154.6300048828125,153.08999633789062,154.3000030517578,57808700,0,0,-0.0715,2.5689,
2021-09-02,153.8699951171875,154.72000122070312,152.39999389648438,153.64999389648438,71115500,0,0,0.6759,2.8726,
2021-09-01,152.8300018310547,154.97999572753906,152.33999633789062,152.50999450683594,80313700,0,0,0.1112,2.9575,
2021-08-31,152.66000366210938,152.8000030517578,151.2899932861328,151.8300018310547,86453100,0,0,2.3975,,
2021-08-30,149.0,153.49000549316406,148.61000061035156,153.1199951171875,90956700,0,0,1.0201,,
2021-08-27,147.47999572753906,148.75,146.8300018310547,148.60000610351562,55721500,0,0,-0.5899,,
2021-08-26,148.35000610351562,149.1199951171875,147.50999450683594,147.5399932861328,48597200,0,0,-0.9842,,
2021-08-25,149.80999755859375,150.32000732421875,147.8000030517578,148.36000061035156,58991300,0,0,0.2403,,
2021-08-24,149.4499969482422,150.86000061035156,149.14999389648438,149.6199951171875,48606400,0,0,0.7628,,
2021-08-23,148.30999755859375,150.19000244140625,147.88999938964844,149.7100067138672,60131800,0,0,,,
